2475200;+
2479200;+
2481200;+
2504800;-
2516000;-
2519200;-
2521050;+
2523200;+
2524000;+
2526400;+
2536800;-
2542800;-
2545550;+
2545600;+
2546000;+
2548000;+
2549600;+
2560800;-
2564400;+
2566400;-
2567600;+
2580800;+
2584000;-
2585600;-
2592400;+
2594000;-
2596800;-
2608000;+
2610000;+
2611600;-
2614150;-
2617600;+
2622000;+
2623200;-
2623600;-
2623950;+
2624000;-
2624400;+
2630000;-
2635200;+
2636800;+
2642800;+
2650400;+
2651600;+
2654800;-
2666000;-
2669600;+
2678400;+
2686000;-
2690100;-
2691200;-
2692400;-
2693600;-
2696800;+
2720000;-
2720800;+
2728000;-
2732800;+
2736650;-
2746400;-
2750800;-
2753200;-
2754000;-
2755200;-
2757200;+
2761150;+
2761200;+
2767200;+
2777600;-
2780750;-
2783600;+
2801600;+
2802000;+
2831200;-
2844450;+
2846900;-
2848400;+
2849200;+
2851600;+
2859200;-
2859600;-
2866400;-
2868800;+
2878750;+
2883650;+
2886400;+
2890800;+
2906800;-
2908150;-
2910600;+
2918000;-
2920000;+
2920400;+
2927600;-
2932400;-
2933200;+
2934800;+
2935600;+
2936000;+
2941200;-
2942400;-
2946800;+
2948000;-
2952400;-
2953600;-
2961600;+
2974400;+
2982800;+
2985600;+
2988000;+
2989600;+
2991200;-
2992800;-
2999200;+
3008800;+
3020800;-
3038400;-
3042400;-
3042900;-
3046800;+
3048400;-
3056400;+
3074750;-
3081600;+
3082000;+
3083600;-
3084550;+
3091200;-
3100800;+
3105600;+
3106600;-
3121600;-
3124400;-
3125200;+
3127600;-
3131200;-
3133200;-
3138000;-
3140000;-
3148250;-
3148400;-
3156000;-
3156400;-
3156800;-
3158050;-
3166000;+
3187200;+
3192350;+
3194800;-
3197600;+
3212000;-
3214400;+
3214400;+
3217600;+
3220400;+
3222800;+
3226400;+
3227600;+
3252400;-
3269600;-
3278000;-
3279200;+
3281200;-
3295600;-
3296400;+
3302800;+
3307200;-
3314400;-
3320000;-
3324000;-
3341800;+
3342000;+
3343200;-
3344800;+
3346000;+
3346700;-
3348000;+
3354800;+
3365600;-
3368750;-
3368800;-
3376100;+
3381600;-
3386000;-
3393200;-
3398150;+
3400400;+
3402400;+
3403050;+
3418400;-
3421200;-
3423200;-
3423600;+
3432450;+
3434000;-
3434400;+
3436000;+
3437600;-
3447200;+
3449200;-
3451200;-
3454500;-
3458800;+
3466750;-
3470800;-
3476800;-
3484000;-
3505950;-
3511200;+
3521600;+
3534800;-
3535350;-
3536000;-
3540250;-
3545200;-
3550000;+
3558800;+
3564800;-
3569200;+
3574400;+
3579450;+
3580800;-
3583600;+
3590800;+
3592800;-
3596600;-
3597200;-
3598400;-
3608400;+
3608800;+
3610400;+
3618400;+
3619200;+
3620400;-
3621600;-
3622800;-
3637200;-
3640700;+
3647200;+
3649200;+
3652950;+
3658000;-
3670800;-
3677600;+
3678000;+
3680400;+
3690400;+
3699200;+
3701600;+
3703600;+
3704800;-
3706000;-
3706400;+
3722800;+
3727600;+
3729600;+
3731350;+
3733200;+
3756800;-
3758800;-
3763200;+
3765650;-
3773000;-
3776000;+
3782400;-
3784000;+
3794800;+
3796000;-
3814000;-
3818800;-
3819600;-
3830000;-
3830400;-
3834800;+
3840000;+
3840400;-
3846000;+
3858750;+
3867200;+
3871000;+
3878000;-
3887200;-
3888000;+
3900000;-
3900400;-
3900400;-
3901200;-
3903600;-
3904400;+
3910400;-
3911200;+
3911600;+
3930000;+
3930400;-
3938000;-
3939600;-
3943600;-
3949400;-
3952000;+
3964400;+
3966000;-
3966800;-
3967200;-
3968000;-
3971450;+
3983700;-
3986000;-
3987200;-
3988600;+
3994000;+
4010800;+
4020000;-
4021600;-
4022000;-
4027200;+
4032400;+
4035600;+
4036400;-
4037600;+
4042000;+
4042400;+
4051200;+
4057600;-
4067200;-
4078400;-
4078800;-
4093950;-
4096000;+
4109200;+
4117600;-
4118450;-
4120000;-
4124800;+
4134000;-
4145600;+
4155200;+
4159600;+
4189500;-
4195600;+
4205200;-
4207200;-
4207600;+
4208400;-
4214000;-
4224800;+
4225200;-
4226400;-
4232400;-
4262000;-
4265600;+
4276400;-
4287500;-
4292000;+
4294850;+
4299200;-
4299600;-
4314000;+
4316000;+
4317600;-
4318400;+
